OwnerUserId,PostTypeId,CreationDate,Score,LastEditorUserId,LastEditDate,LastActivityDate,CommentCount
2961,4,2014-05-14T13:08:26.647,0,2961,2014-08-15T16:38:27.880,2014-08-15T16:38:27.880,0
151,1,2014-05-14T14:26:54.313,6,,,2014-05-14T15:42:02.393,1
62,2,2014-05-14T14:48:32.180,9,-1,2017-05-23T12:38:53.587,2014-05-14T14:57:32.243,2
157,1,2014-05-14T15:25:21.700,33,136,2014-05-16T13:45:07.447,2017-01-23T06:27:10.313,2
116,2,2014-05-14T15:42:02.393,10,,,2014-05-14T15:42:02.393,0
84,2,2014-05-14T16:29:39.927,16,,,2014-05-14T16:29:39.927,6
119,2,2014-05-14T17:06:33.337,11,,,2014-05-14T17:06:33.337,1
158,1,2014-05-14T17:48:21.240,10,62,2014-07-26T15:10:51.000,2014-07-26T15:10:51.000,1
118,2,2014-05-14T17:58:48.297,7,,,2014-05-14T17:58:48.297,0
158,1,2014-05-14T18:09:01.940,45,-1,2017-04-13T12:50:41.230,2017-09-17T02:27:31.110,16
26,2,2014-05-14T18:27:56.043,43,26,2015-02-12T07:08:27.463,2015-02-12T07:08:27.463,0
84,2,2014-05-14T18:37:52.333,17,84,2014-05-15T23:22:39.427,2014-05-15T23:22:39.427,0
-1,5,2014-05-14T18:45:23.917,0,-1,2014-05-14T18:45:23.917,2014-05-14T18:45:23.917,0
118,4,2014-05-14T18:45:23.917,0,118,2014-05-16T13:45:57.450,2014-05-16T13:45:57.450,0
-1,5,2014-05-14T18:48:42.263,0,-1,2014-05-14T18:48:42.263,2014-05-14T18:48:42.263,0
-1,4,2014-05-14T18:48:42.263,0,-1,2014-05-14T18:48:42.263,2014-05-14T18:48:42.263,0
158,1,2014-05-14T20:03:15.233,2,-1,2017-04-13T12:50:41.230,2014-05-15T02:02:08.010,2
178,2,2014-05-14T22:03:50.597,2,,,2014-05-14T22:03:50.597,4
179,1,2014-05-14T22:12:37.203,13,,,2014-05-15T08:25:47.933,3
22,2,2014-05-14T22:40:40.363,5,,,2014-05-14T22:40:40.363,0
14,2,2014-05-14T22:43:23.587,4,,,2014-05-14T22:43:23.587,0
64,2,2014-05-14T22:58:11.583,2,,,2014-05-14T22:58:11.583,0
158,1,2014-05-15T00:26:11.387,4,,,2014-05-15T20:32:26.923,0
158,1,2014-05-15T00:39:33.433,6,118,2014-05-18T15:18:08.050,2014-05-18T15:18:08.050,6
158,1,2014-05-15T01:22:35.167,9,118,2014-05-15T13:15:02.727,2015-05-10T21:18:01.617,0
178,2,2014-05-15T01:46:28.467,5,-1,2017-04-13T12:50:41.230,2014-05-15T01:46:28.467,0
53,5,2014-05-15T03:19:40.360,0,3117,2017-08-27T17:25:18.230,2017-08-27T17:25:18.230,0
53,4,2014-05-15T03:19:40.360,0,53,2014-05-16T13:46:05.850,2014-05-16T13:46:05.850,0
84,1,2014-05-15T04:59:54.317,15,118,2014-05-15T09:31:51.370,2014-05-18T17:38:01.383,0
172,2,2014-05-15T05:19:34.757,16,172,2014-05-15T05:25:39.970,2014-05-15T05:25:39.970,0
26,2,2014-05-15T07:47:44.710,8,-1,2017-05-23T12:38:53.587,2014-05-15T07:59:05.497,0
26,2,2014-05-15T08:19:40.577,8,26,2014-05-15T08:25:47.933,2014-05-15T08:25:47.933,1
26,2,2014-05-15T08:44:47.327,3,-1,2017-04-13T12:50:41.230,2014-05-15T20:32:26.923,1
116,1,2014-05-15T09:04:09.710,12,116,2014-05-15T10:06:06.393,2014-05-15T21:41:22.703,0
108,2,2014-05-15T09:30:36.460,7,,,2014-05-15T09:30:36.460,0
189,1,2014-05-15T11:22:27.293,10,189,2014-05-16T02:46:56.510,2014-08-30T18:40:02.403,0
156,2,2014-05-15T11:46:38.170,4,,,2014-05-15T11:46:38.170,0
84,2,2014-05-15T11:56:43.607,12,84,2014-05-16T04:33:52.310,2014-05-16T04:33:52.310,2
21,2,2014-05-15T13:18:38.693,9,,,2014-05-15T13:18:38.693,3
21,2,2014-05-15T13:30:04.270,6,,,2014-05-15T13:30:04.270,3
84,1,2014-05-15T14:41:24.020,17,,,2015-11-23T15:36:28.760,0
9,2,2014-05-15T15:06:24.600,5,,,2014-05-15T15:06:24.600,0
115,2,2014-05-15T15:10:30.243,7,115,2015-11-23T15:36:28.760,2015-11-23T15:36:28.760,0
158,2,2014-05-15T17:14:36.817,14,158,2014-05-15T23:08:04.300,2014-05-15T23:08:04.300,0
92,2,2014-05-15T21:41:22.703,8,,,2014-05-15T21:41:22.703,2
199,1,2014-05-16T05:09:33.557,6,229,2014-05-18T19:41:19.157,2016-12-09T21:55:46.000,3
113,1,2014-05-16T14:26:12.270,16,,,2014-06-25T15:53:30.723,7
53,5,2014-05-16T15:35:51.420,0,53,2014-05-20T13:50:52.447,2014-05-20T13:50:52.447,0
53,4,2014-05-16T15:35:51.420,0,53,2014-05-20T13:53:05.697,2014-05-20T13:53:05.697,0
34,2,2014-05-16T16:25:58.250,6,,,2014-05-16T16:25:58.250,0
200,1,2014-05-16T20:07:50.983,11,118,2014-05-19T07:33:50.080,2014-05-19T07:33:50.080,0
-1,5,2014-05-16T20:24:38.980,1,-1,2014-05-16T20:24:38.980,2014-05-16T20:24:38.980,0
200,4,2014-05-16T20:24:38.980,0,200,2014-05-20T13:52:00.620,2014-05-20T13:52:00.620,0
26,2,2014-05-17T03:07:59.707,8,26,2014-05-18T06:43:52.453,2014-05-18T06:43:52.453,1
70,2,2014-05-17T04:18:10.020,8,,,2014-05-17T04:18:10.020,1
199,1,2014-05-17T04:53:03.913,14,31513,2017-06-05T19:30:23.440,2017-06-05T19:30:23.440,2
212,1,2014-05-17T08:45:08.420,10,,,2014-05-18T06:54:08.560,5
173,1,2014-05-17T09:16:18.823,26,173,2014-05-17T19:26:53.783,2016-04-28T06:18:44.780,3
201,5,2014-05-17T13:41:20.283,0,381,2017-08-27T17:25:05.257,2017-08-27T17:25:05.257,0
-1,4,2014-05-17T13:41:20.283,0,-1,2014-05-17T13:41:20.283,2014-05-17T13:41:20.283,0
92,2,2014-05-17T18:15:11.937,5,,,2014-05-17T18:15:11.937,1
92,2,2014-05-17T18:53:30.123,17,,,2014-05-17T18:53:30.123,2
180,2,2014-05-17T20:56:15.577,10,,,2014-05-17T20:56:15.577,0
53,5,2014-05-17T21:10:41.990,0,53,2014-05-20T13:50:21.763,2014-05-20T13:50:21.763,0
53,4,2014-05-17T21:10:41.990,0,53,2014-05-20T13:50:19.543,2014-05-20T13:50:19.543,0
109,1,2014-05-17T21:52:34.563,1,84,2014-05-18T16:10:50.820,2016-04-11T22:08:14.620,0
26,2,2014-05-17T23:53:42.700,3,-1,2017-05-23T12:38:53.587,2016-04-11T22:08:14.620,1
122,1,2014-05-18T06:10:52.543,43,84,2014-05-20T13:45:59.373,2017-08-31T01:02:16.897,1
122,1,2014-05-18T06:17:37.587,8,-1,2017-05-23T12:38:53.587,2014-05-19T11:13:48.067,1
122,1,2014-05-18T06:26:15.673,48,13727,2015-11-08T15:46:14.557,2018-03-08T17:31:00.617,0
26,2,2014-05-18T06:54:08.560,6,,,2014-05-18T06:54:08.560,0
172,2,2014-05-18T07:53:58.203,44,,,2014-05-18T07:53:58.203,2
26,2,2014-05-18T09:09:47.780,8,26,2014-05-18T09:17:15.557,2014-05-18T09:17:15.557,0
227,1,2014-05-18T12:03:21.650,11,,,2014-06-10T02:42:02.050,1
227,2,2014-05-18T12:30:06.853,9,227,2014-05-19T08:13:05.037,2014-05-19T08:13:05.037,5
227,5,2014-05-18T12:55:39.657,0,227,2014-05-20T13:53:08.790,2014-05-20T13:53:08.790,0
227,4,2014-05-18T12:55:39.657,0,227,2014-05-20T13:53:39.727,2014-05-20T13:53:39.727,0
84,1,2014-05-18T14:02:51.350,10,84,2014-05-29T15:01:17.840,2014-06-10T05:57:13.897,2
118,2,2014-05-18T14:04:37.870,3,,,2014-05-18T14:04:37.870,0
118,2,2014-05-18T14:30:10.553,3,,,2014-05-18T14:30:10.553,1
-1,5,2014-05-18T14:36:16.350,0,-1,2014-05-18T14:36:16.350,2014-05-18T14:36:16.350,0
84,4,2014-05-18T14:36:16.350,0,84,2014-05-20T13:51:49.240,2014-05-20T13:51:49.240,0
229,1,2014-05-18T14:37:20.477,9,229,2014-05-19T12:05:13.513,2014-05-19T12:05:13.513,0
29575,5,2014-05-18T14:58:34.853,0,29575,2018-01-01T18:56:53.570,2018-01-01T18:56:53.570,0
118,4,2014-05-18T14:58:34.853,0,118,2014-05-20T13:53:26.907,2014-05-20T13:53:26.907,0
29575,5,2014-05-18T15:01:24.080,0,21163,2018-04-10T01:03:28.253,2018-04-10T01:03:28.253,0
118,4,2014-05-18T15:01:24.080,0,118,2014-05-20T13:52:59.427,2014-05-20T13:52:59.427,0
229,5,2014-05-18T15:08:08.913,0,229,2014-05-20T13:53:31.717,2014-05-20T13:53:31.717,0
229,4,2014-05-18T15:08:08.913,0,229,2014-05-20T13:52:19.333,2014-05-20T13:52:19.333,0
229,5,2014-05-18T15:34:16.437,0,229,2014-05-20T13:48:12.163,2014-05-20T13:48:12.163,0
229,4,2014-05-18T15:34:16.437,0,229,2014-05-20T13:53:17.567,2014-05-20T13:53:17.567,0
84,2,2014-05-18T17:38:01.383,3,,,2014-05-18T17:38:01.383,0
229,2,2014-05-18T17:53:37.750,4,,,2014-05-18T17:53:37.750,0
227,1,2014-05-18T18:45:38.957,146,26596,2016-12-05T22:33:53.380,2018-07-02T10:43:22.200,9
118,2,2014-05-18T19:19:44.240,31,118,2017-02-01T12:36:02.110,2017-02-01T12:36:02.110,1
36,2,2014-05-18T19:22:05.160,12,,,2014-05-18T19:22:05.160,0
84,2,2014-05-18T19:29:53.530,78,26596,2016-11-29T04:04:46.463,2016-11-29T04:04:46.463,0
199,1,2014-05-18T19:46:44.653,6,,,2014-05-18T21:05:28.990,3
156,2,2014-05-18T21:05:28.990,12,,,2014-05-18T21:05:28.990,0
21,2,2014-05-18T21:25:29.040,7,,,2014-05-18T21:25:29.040,3
59,2,2014-05-18T22:16:19.300,32,,,2014-05-18T22:16:19.300,0
229,2,2014-05-18T23:21:07.220,4,229,2014-05-18T23:29:39.227,2014-05-18T23:29:39.227,0
208,2,2014-05-19T00:09:17.900,11,,,2014-05-19T00:09:17.900,0
108,2,2014-05-19T08:46:47.683,10,,,2014-05-19T08:46:47.683,2
21,2,2014-05-19T11:13:48.067,6,,,2014-05-19T11:13:48.067,0
229,5,2014-05-19T12:17:45.960,0,229,2014-05-20T13:52:50.373,2014-05-20T13:52:50.373,0
229,4,2014-05-19T12:17:45.960,0,229,2014-05-20T13:50:32.440,2014-05-20T13:50:32.440,0
113,1,2014-05-19T15:55:24.983,13,113,2015-05-18T13:30:46.940,2015-05-24T10:07:50.763,0
84,2,2014-05-19T18:08:32.327,15,84,2014-05-19T18:19:08.730,2014-05-19T18:19:08.730,2
172,2,2014-05-19T19:44:48.500,5,,,2014-05-19T19:44:48.500,0
250,1,2014-05-19T23:59:58.070,23,84,2014-05-20T04:47:25.207,2017-01-21T20:50:38.380,1
158,2,2014-05-20T03:56:43.147,4,,,2014-05-20T03:56:43.147,0
172,2,2014-05-20T09:24:30.697,5,172,2014-05-20T19:36:16.283,2014-05-20T19:36:16.283,6
249,1,2014-05-20T22:14:02.927,3,,,2014-05-21T07:19:32.297,4
173,1,2014-05-21T05:29:36.787,11,173,2014-05-21T05:51:58.330,2014-05-22T12:14:49.727,0
-1,5,2014-05-21T07:05:44.780,0,-1,2014-05-21T07:05:44.780,2014-05-21T07:05:44.780,0
-1,4,2014-05-21T07:05:44.780,0,-1,2014-05-21T07:05:44.780,2014-05-21T07:05:44.780,0
97,2,2014-05-21T07:09:20.093,5,97,2014-05-21T07:18:48.453,2014-05-21T07:18:48.453,4
-1,5,2014-05-21T07:10:45.827,0,-1,2014-05-21T07:10:45.827,2014-05-21T07:10:45.827,0
-1,4,2014-05-21T07:10:45.827,0,-1,2014-05-21T07:10:45.827,2014-05-21T07:10:45.827,0
21,2,2014-05-21T07:19:32.297,4,,,2014-05-21T07:19:32.297,1
262,2,2014-05-21T10:53:26.870,11,-1,2017-05-23T12:38:53.587,2014-05-21T15:39:57.380,1
200,1,2014-05-21T11:22:34.657,8,,,2014-06-10T04:47:13.040,0
108,2,2014-05-21T14:14:38.797,5,,,2014-05-21T14:14:38.797,0
133,1,2014-05-21T15:12:18.980,7,84,2014-05-21T15:26:02.533,2014-05-21T15:39:54.830,0
84,2,2014-05-21T15:39:54.830,7,,,2014-05-21T15:39:54.830,0
82,2,2014-05-21T16:13:25.590,5,,,2014-05-21T16:13:25.590,1
151,1,2014-05-21T19:41:19.857,4,84,2014-06-17T16:18:02.437,2014-06-17T16:18:02.437,1
173,2,2014-05-22T12:14:49.727,5,,,2014-05-22T12:14:49.727,0
273,1,2014-05-22T13:36:24.120,8,,,2014-06-10T08:38:27.093,2
88,1,2014-05-22T15:15:41.133,8,,,2014-05-23T06:03:40.577,0
178,2,2014-05-22T15:43:57.160,4,,,2014-05-22T15:43:57.160,0
108,2,2014-05-22T19:20:14.130,5,,,2014-05-22T19:20:14.130,0
92,2,2014-05-22T20:48:55.297,5,92,2014-05-23T06:03:40.577,2014-05-23T06:03:40.577,0
275,1,2014-05-22T21:47:26.980,10,84,2014-05-23T03:27:20.630,2016-01-19T08:26:05.850,0
108,2,2014-05-22T21:54:05.660,9,108,2014-05-22T21:59:22.117,2014-05-22T21:59:22.117,3
88,2,2014-05-23T03:05:57.990,5,,,2014-05-23T03:05:57.990,0
122,1,2014-05-23T06:25:50.480,17,,,2017-06-12T12:17:59.923,1
278,2,2014-05-23T08:34:38.900,4,,,2014-05-23T08:34:38.900,1
97,2,2014-05-23T09:09:44.490,54,-1,2017-04-13T12:44:20.183,2016-01-21T08:44:01.610,0
108,2,2014-05-23T13:47:54.603,12,33302,2017-06-12T12:17:59.923,2017-06-12T12:17:59.923,1
265,2,2014-05-23T14:28:41.563,2,,,2014-05-23T14:28:41.563,2
250,2,2014-05-23T19:28:01.903,7,,,2014-05-23T19:28:01.903,2
250,1,2014-05-23T19:45:54.283,11,,,2017-02-19T09:12:49.270,0
172,2,2014-05-23T21:01:18.630,5,,,2014-05-23T21:01:18.630,0
21,2,2014-05-24T10:36:58.987,9,,,2014-05-24T10:36:58.987,0
26,2,2014-05-24T11:18:26.497,9,26,2017-02-19T09:12:49.270,2017-02-19T09:12:49.270,1
71,1,2014-05-25T13:57:52.657,8,71,2014-05-26T05:12:32.653,2014-05-27T10:58:00.620,2
283,2,2014-05-26T04:07:32.390,8,,,2014-05-26T04:07:32.390,0
295,1,2014-05-27T10:41:33.220,9,84,2014-05-27T14:57:34.150,2014-05-28T09:43:54.197,0
21,2,2014-05-27T10:58:00.620,5,,,2014-05-27T10:58:00.620,1
59,2,2014-05-27T12:07:45.920,8,,,2014-05-27T12:07:45.920,7
295,2,2014-05-27T16:05:02.883,26,28175,2017-12-17T19:30:24.190,2017-12-17T19:30:24.190,0
250,1,2014-05-27T21:07:48.973,17,,,2014-06-11T11:32:13.433,0
108,2,2014-05-28T07:08:05.393,14,,,2014-05-28T07:08:05.393,1
82,2,2014-05-28T09:43:54.197,5,,,2014-05-28T09:43:54.197,0
273,1,2014-05-29T13:08:09.060,3,,,2014-05-29T14:31:51.913,1
178,2,2014-05-29T13:51:48.820,2,,,2014-05-29T13:51:48.820,0
250,2,2014-05-29T14:13:00.317,5,250,2014-05-29T14:31:51.913,2014-05-29T14:31:51.913,2
250,2,2014-05-29T14:30:21.357,7,,,2014-05-29T14:30:21.357,1
43,2,2014-05-29T19:02:13.210,18,43,2014-05-30T21:05:52.147,2014-05-30T21:05:52.147,0
227,1,2014-05-29T20:11:16.327,18,,,2017-11-24T20:32:10.280,5
122,1,2014-05-31T14:28:42.317,4,25180,2018-05-06T22:11:50.250,2018-05-06T22:11:50.250,2
290,2,2014-05-31T19:59:15.563,15,,,2014-05-31T19:59:15.563,0
339,1,2014-06-01T10:25:51.163,11,339,2014-06-01T21:59:02.347,2014-06-10T23:33:28.443,0
339,1,2014-06-01T12:51:25.040,8,,,2014-06-10T03:42:51.637,0
21,2,2014-06-01T19:48:41.693,9,,,2014-06-01T19:48:41.693,5
178,2,2014-06-02T15:03:35.940,7,,,2014-06-02T15:03:35.940,0
133,1,2014-06-05T09:00:27.950,8,84,2014-06-05T15:21:40.640,2014-06-11T09:39:34.373,0
375,2,2014-06-06T14:55:18.867,4,,,2014-06-06T14:55:18.867,2
381,2,2014-06-08T07:03:43.710,3,,,2014-06-08T07:03:43.710,0
386,1,2014-06-09T04:43:03.497,6,,,2014-06-10T03:21:56.473,1
122,1,2014-06-09T08:34:29.337,2,471,2014-06-12T16:32:27.490,2014-06-14T07:34:37.643,1
381,2,2014-06-09T18:02:00.613,2,,,2014-06-09T18:02:00.613,1
59,2,2014-06-09T19:52:41.847,9,,,2014-06-09T19:52:41.847,0
395,2,2014-06-09T21:36:44.297,1,,,2014-06-09T21:36:44.297,0
403,2,2014-06-09T21:51:53.793,3,,,2014-06-09T21:51:53.793,1
406,2,2014-06-09T21:57:30.240,12,406,2014-06-10T23:33:28.443,2014-06-10T23:33:28.443,0
432,2,2014-06-10T01:36:27.520,4,432,2014-06-10T01:43:47.883,2014-06-10T01:43:47.883,0
434,2,2014-06-10T01:40:23.263,4,,,2014-06-10T01:40:23.263,0
432,2,2014-06-10T01:54:40.647,3,,,2014-06-10T01:54:40.647,1
434,2,2014-06-10T02:42:02.050,4,,,2014-06-10T02:42:02.050,0
434,2,2014-06-10T02:50:51.153,11,,,2014-06-10T02:50:51.153,0
434,2,2014-06-10T03:21:56.473,3,,,2014-06-10T03:21:56.473,1
434,2,2014-06-10T03:42:51.637,4,,,2014-06-10T03:42:51.637,0
434,2,2014-06-10T04:47:13.040,3,,,2014-06-10T04:47:13.040,0
451,2,2014-06-10T05:57:13.897,4,,,2014-06-10T05:57:13.897,1
88,1,2014-06-10T06:19:46.510,4,,,2014-06-10T07:56:45.587,0
456,1,2014-06-10T06:20:20.817,36,,,2016-04-27T16:05:22.403,4
463,2,2014-06-10T07:10:45.057,7,,,2014-06-10T07:10:45.057,0
466,2,2014-06-10T07:28:49.127,2,,,2014-06-10T07:28:49.127,0
434,2,2014-06-10T07:30:53.510,42,434,2014-06-10T08:21:19.197,2014-06-10T08:21:19.197,0
11,2,2014-06-10T07:42:57.470,5,,,2014-06-10T07:42:57.470,0
434,2,2014-06-10T07:56:45.587,2,,,2014-06-10T07:56:45.587,0
454,2,2014-06-10T08:04:20.400,16,,,2014-06-10T08:04:20.400,0
454,2,2014-06-10T08:38:27.093,2,,,2014-06-10T08:38:27.093,0
480,2,2014-06-10T09:21:14.013,3,15527,2016-01-19T08:26:05.850,2016-01-19T08:26:05.850,0
97,1,2014-06-10T09:26:06.593,21,97,2015-10-10T12:30:56.583,2016-06-29T20:47:42.270,0
478,2,2014-06-10T09:41:34.697,7,,,2014-06-10T09:41:34.697,0
490,2,2014-06-10T10:48:58.457,4,,,2014-06-10T10:48:58.457,3
434,1,2014-06-10T10:58:58.447,36,553,2015-03-02T12:33:11.007,2016-11-30T23:07:04.667,0
434,1,2014-06-10T11:05:47.273,12,,,2014-06-12T17:58:21.467,1
418,2,2014-06-10T11:36:19.287,5,,,2014-06-10T11:36:19.287,0
97,2,2014-06-10T11:37:28.293,8,322,2014-06-25T16:03:21.447,2014-06-25T16:03:21.447,0
478,2,2014-06-10T11:39:19.603,6,,,2014-06-10T11:39:19.603,0
418,2,2014-06-10T11:49:23.777,6,,,2014-06-10T11:49:23.777,1
478,2,2014-06-10T11:53:07.737,13,,,2014-06-10T11:53:07.737,2
498,2,2014-06-10T12:10:28.713,2,498,2014-06-10T15:04:01.177,2014-06-10T15:04:01.177,0
434,2,2014-06-10T12:57:04.307,10,,,2014-06-10T12:57:04.307,1
508,2,2014-06-10T13:17:48.433,21,,,2014-06-10T13:17:48.433,0
434,2,2014-06-10T13:38:31.207,10,,,2014-06-10T13:38:31.207,0
518,2,2014-06-10T14:25:41.903,11,,,2014-06-10T14:25:41.903,0
524,2,2014-06-10T14:30:33.667,2,,,2014-06-10T14:30:33.667,0
514,2,2014-06-10T14:57:47.810,16,514,2014-06-11T16:30:06.930,2014-06-11T16:30:06.930,0
531,1,2014-06-10T15:08:54.073,8,,,2014-06-11T01:19:18.183,0
514,2,2014-06-10T16:25:24.223,11,26596,2016-11-30T23:07:04.667,2016-11-30T23:07:04.667,0
84,2,2014-06-10T17:06:54.950,5,,,2014-06-10T17:06:54.950,0
553,2,2014-06-10T17:15:52.953,14,,,2014-06-10T17:15:52.953,0
108,2,2014-06-10T17:32:19.120,4,108,2014-06-11T09:39:34.373,2014-06-11T09:39:34.373,2
381,2,2014-06-10T17:36:11.580,5,381,2014-06-11T01:19:18.183,2014-06-11T01:19:18.183,0
560,1,2014-06-10T17:56:34.847,9,560,2015-09-10T20:17:35.897,2015-09-10T20:17:35.897,1
571,2,2014-06-10T18:22:32.610,2,,,2014-06-10T18:22:32.610,0
381,2,2014-06-10T18:55:39.010,9,,,2014-06-10T18:55:39.010,2
587,2,2014-06-10T19:43:11.860,7,,,2014-06-10T19:43:11.860,0
26,2,2014-06-10T20:28:54.613,17,,,2014-06-10T20:28:54.613,1
602,2,2014-06-10T20:40:25.623,10,,,2014-06-10T20:40:25.623,0
386,2,2014-06-10T20:43:28.533,5,,,2014-06-10T20:43:28.533,4
14,2,2014-06-10T21:50:51.347,29,,,2014-06-10T21:50:51.347,0
418,2,2014-06-10T22:26:53.623,6,381,2015-10-20T03:28:37.247,2015-10-20T03:28:37.247,0
609,2,2014-06-10T22:29:52.873,7,,,2014-06-10T22:29:52.873,0
609,2,2014-06-10T23:20:16.670,4,,,2014-06-10T23:20:16.670,0
609,2,2014-06-11T00:32:54.887,11,,,2014-06-11T00:32:54.887,2
434,2,2014-06-11T00:44:20.517,3,,,2014-06-11T00:44:20.517,0
609,2,2014-06-11T01:09:06.100,3,-1,2017-05-23T12:38:53.587,2014-06-11T01:09:06.100,4
534,1,2014-06-11T04:24:04.183,12,434,2014-06-11T15:02:46.890,2015-01-28T18:42:06.763,2
434,2,2014-06-11T05:17:12.253,3,,,2014-06-11T05:17:12.253,1
496,1,2014-06-11T06:07:45.767,13,3151,2016-08-17T10:41:41.383,2016-08-17T10:41:41.383,0
434,2,2014-06-11T06:49:04.070,14,434,2014-06-11T06:54:42.593,2014-06-11T06:54:42.593,1
638,2,2014-06-11T06:51:19.143,12,638,2014-06-11T09:07:33.570,2014-06-11T09:07:33.570,2
555,1,2014-06-11T10:11:59.397,13,,,2015-04-12T16:24:28.790,3
434,2,2014-06-11T11:24:19.963,5,,,2014-06-11T11:24:19.963,1
655,2,2014-06-11T11:32:13.433,4,,,2014-06-11T11:32:13.433,0
663,1,2014-06-11T13:28:35.980,25,11097,2016-02-21T04:02:38.847,2016-02-21T04:02:38.847,5
178,2,2014-06-11T13:49:08.970,13,,,2014-06-11T13:49:08.970,0
514,2,2014-06-11T16:25:34.747,9,,,2014-06-11T16:25:34.747,2
680,2,2014-06-11T16:56:59.660,2,,,2014-06-11T16:56:59.660,0
471,2,2014-06-11T17:24:53.610,2,,,2014-06-11T17:24:53.610,0
691,1,2014-06-11T18:22:36.267,9,381,2014-06-12T16:43:59.513,2014-06-12T18:08:07.507,0
574,2,2014-06-11T20:34:51.873,8,,,2014-06-11T20:34:51.873,1
418,1,2014-06-11T23:52:37.823,4,,,2014-06-12T10:27:14.480,0
714,1,2014-06-12T03:11:00.033,-3,,,2014-06-12T05:17:46.453,2
434,2,2014-06-12T05:17:46.453,2,,,2014-06-12T05:17:46.453,0
721,1,2014-06-12T06:04:48.243,83,10327,2015-08-27T20:06:14.047,2018-03-10T16:34:16.250,2
115,2,2014-06-12T07:05:05.653,20,,,2014-06-12T07:05:05.653,8
456,2,2014-06-12T08:30:49.757,7,,,2014-06-12T08:30:49.757,0
729,2,2014-06-12T09:57:39.890,4,,,2014-06-12T09:57:39.890,0
108,2,2014-06-12T10:09:23.887,14,733,2014-06-12T11:16:51.183,2014-06-12T11:16:51.183,0
108,2,2014-06-12T10:27:14.480,2,,,2014-06-12T10:27:14.480,0
